cost,total_square,live_square,rooms_num,floor,rep_type,total_floors,metro,m_distance,adr,date_time,builder,desc,house_type,page_num,dist_cent,build_age,district,lat,lon
1 800 000,56 м²,46 м²,2,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова, 1к1",28 июля 20:14 2020,,"Свежий ремонт, новая электрика, пластиковые окна, новые батареи и трубопровод. Новая сантехника. Хорошая планировка.",кирпичный,12,,,р-н Северо-Западный,43.054108,44.634735
2 250 000,43 м²,28 м²,2,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Леонова, 5к4",3 августа 10:16 2020,,"продаётся двухкомнатная квартира переделанная в однокомнатную. большая кухня и большая гардеробная. имеется гостиная также выделена спальная зона. дизайнерский ремонт два кондиционера тёплые полы квартира не торцевая.очень уютная приятная квартира, которая сейчас находится в аренде в оплате 20.000 месяц, готовый бизнес для тех кто ищет такой вариант!всё в квартире новое техника и мебель всё остаётся как есть цена без торга срочная продажа.",панельный,12,,,р-н Северо-Западный,43.053644878407,44.65344921289501
7 200 000,93 м²,,3,6 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, Ардонская ул.",31 июля 15:26 2020,,"Продаю уютную,теплую,квартиру с  новым капитальным ремонтом,индивидуальным отоплением  и  полностью оборудованной кухней,два санузла,гардеробная.После проведенного ремонта никто не жил.Посредников прошу не беспокоить!",кирпичный,12,,,р-н Затеречный,43.028083,44.666985
3 400 000,72 м²,,3,2 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Кутузова, 83к4",4 августа 23:34 2020,,ПРОДАЕТСЯ КВАРТИРА С РЕМОНТОМ.ОСТАЛЬНОЕ ФОТО ПО ЗАПРОСУ НА ВАЦАП.БЕЗ ПОСРЕДНИКОВ.,кирпичный,12,,,р-н Иристонский,43.009601,44.693961
2 750 000,108 м²,,2,9 из 10,без отделки,,,,"Республика Северная Осетия — Алания, Владикавказ, Кырджалийская ул., 10к2",3 августа 12:16 2020,,"Срочно!!!Торга больше нет.Цена снижена.Квартира светлая и солнечная. Отличный район, развитая инфраструктура, в шаговой доступности дет сад и школа, хорошая транспортная развязка. Более подробная информация по телефону. Вита",кирпичный,12,,,р-н Затеречный,43.022366,44.650597
3 500 000,80 м²,,4,1 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова",3 августа 15:37 2020,,"Продам просторную четырехкомнатную квартиру с ремонтом Комнаты раздельные, санузел совмещен Отапливаемая лоджия Окна пластиковые, полы ламинат, трубы пропиленовые Большая кухня Просторная прихожая Имеется подвал Чистый, ухоженный подъезд Большой двор Рядом школа, детский сад, магазины Звоните! Люда!",кирпичный,12,,,р-н Северо-Западный,43.051369,44.628646999999994
4 300 000,74 м²,40 м²,3,6 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, пр-т Доватора, 252",3 августа 20:27 2020,,"Собственник.Продается большая, светлая квартира с отличным ремонтом! Имеется вся необходимая мебель, кондиционер. За исключением балкона окна выполнены из деревянного стеклопакета. Ванная комната облицована итальянской плиткой, потолок из зеркальных панелей. По всей площади квартиры паркет.Квартира продается с мебелью!",панельный,12,,,р-н Северо-Западный,43.044888,44.642448
2 700 000,72 м²,,2,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Владикавказская ул., 71",4 августа 17:31 2020,,"район Викалины, окна выходят на авторынок, площадь 68.5 плюс балкон и лоджия, стяжка, штукатурка, проводка, отопление, кафель в с/у. Рассмотрим все виды оплаты, подробности по телефону...",кирпичный,12,,,р-н Северо-Западный,43.058013557745,44.618335024152
1 550 000,45 м²,,1,5 из 5,черновая,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Билара Кабалоева",28 июля 19:22 2020,,"Продаётся квартира в новостройке за Чибо, застройщик Дзебисов, штукатурка , проводка, все коммуникации , Мансарда и подвал в подарок",кирпичный,12,,,р-н Северо-Западный,43.058739,44.633995
6 700 000,140 м²,,4,1 из 6,чистовая,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Гагкаева",3 августа 14:50 2020,,"Продам квартиру в Северо-Западном районе  Две квартиры объединили 2х и 3х комнатные  Выполнен капитальный ремонт  2 санузла , отдельно душевая и отдельно умывальник  Кондицыонеры , кладовая  АГВ ( индивидуальное отопление )  Удобная расположение , отличная планировка",кирпичный,12,,,р-н Северо-Западный,43.049532,44.620138
1 800 000,38 м²,,1,2 из 4,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Бутырина, 17",3 августа 08:36 2020,,"Продается квартира в центре города. Отопление индивидуальное, сан узел совмещен, кухня и балкон соеденены. Двор закрыт, можно ставить транспорт. Место очень хорошее, рядом парк. Общая площадь 38,5 м Торг уместен",кирпичный,12,,,р-н Иристонский,43.027115,44.685219000000004
1 800 000,37 м²,,1,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Степана Разина, 5",3 августа 20:32 2020,,"Продаю 1к квартиру на Разина, район СОГУ и Медакадемии. Косметический ремонт, пластиковые окна. Есть балкон и лоджия, окна во двор и комсомольский парк. Высота потолков 2,85. Санузел совмещен. Торг, обмен на большую площадь с доплатой.",кирпичный,12,,,р-н Иристонский,43.029184,44.693835
